Kategorie,Produkt,Preis
kuehlung,"CUCINA NOBILE Original Italian Cheese Mix, Provolone Dolce","€ 3,69"
kuehlung,"FAIR HOF Heimische Käsescheiben, Almgold","€ 2,99"
kuehlung,"FAIR HOF Heimische Käsescheiben, Traunviertler","€ 2,99"
kuehlung,FLORA Plant,"€ 1,79"
kuehlung,"FOL EPI Käsescheiben, Extra fine 3 Poivres","€ 2,99"
kuehlung,"FOL EPI Käsescheiben, Extra fines Classic","€ 2,99"
kuehlung,"FOL EPI Käsescheiben, Extra fines Intense","€ 2,99"
kuehlung,"FairHOF Bergbauernkäse in Scheiben, ""Berta""","€ 2,79"
kuehlung,FairHOF länger frisch Vollmilch,"€ 1,49"
kuehlung,Fraicho Feine Kräuter,"€ 0,99"
kuehlung,Fraicho Grüner Pfeffer,"€ 0,99"
kuehlung,Fraicho Kirschtomaten,"€ 0,99"
kuehlung,Fraicho Kräuter der Provence,"€ 0,99"
kuehlung,Fraicho Meersalz,"€ 0,99"
kuehlung,"GOOD CHOICE Burrito, Santa Cruz","€ 2,49"
kuehlung,"GOOD CHOICE Burrito, Spicy Tiger","€ 2,49"
kuehlung,"GOOD CHOICE Kleine Marinierte Salate, Kartoffel/Essig-Öl","€ 1,49"
kuehlung,"GOOD CHOICE Pasta Fertiggerichte, Lachsspaghettini","€ 2,79"
kuehlung,"GOOD CHOICE Pasta Fertiggerichte, Linguini mit Hühnerpolpetti","€ 2,79"
kuehlung,"GOOD CHOICE Pasta Fertiggerichte, Pecorelli mit getrockneten Tomaten","€ 2,79"
kuehlung,"GOOD CHOICE Risotto, Pilz","€ 2,99"
kuehlung,"GOOD CHOICE Risotto, Tomate","€ 2,99"
kuehlung,"GOOD CHOICE Salatschale, Käse-Croutons","€ 2,88"
kuehlung,"GOOD CHOICE Salatschale, Käse-Olive","€ 2,88"
kuehlung,"GOOD CHOICE Salatschale, Mozzarella-Tomate","€ 2,88"
kuehlung,"GOOD CHOICE Salatschale, Schinken-Käse","€ 2,88"
